,A01_02,B05_06,B07_08,B09,C10T12,C13T15,C16,C17_18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C31T33,D,E,F,G,H49,H51,H52,I,J58T60,J61,J62_63,K,L,M,N
E,0.0056606558539769,0.0001034031234074,0.0038056692390171,0.0012752464327566,0.0042630726228322,0.0017018643149996,0.0004803733186933,0.0021105693643209,3.9693098840226464e-05,0.0007592090598947,0.0006653864786463,0.0013823140595601,0.0020633006929945,0.000857935907141,0.0013617130952125,0.0001718354856104,0.0003236955966609,0.00076583919565,0.0003869964635352,0.0015089842229452,0.0004593790380899,0.0121461325652783,0.000764916630134,0.0003981918572245,0.0003941250364654,0.0012293580150596,0.0012968959920477,0.0049977755866077,0.0060856523193456,0.0001643740250364,0.0027945125934528,0.0006060021022373,0.0011725188962111,0.0033838275875471,0.002820926009157
F,0.0018268218858245,0.0020469597899017,0.0007550931029795,0.0235748259460949,0.0003268466005471,0.0006270026423682,0.0003888736389422,0.0004465842423055,0.000283732150969,2.595586529554808e-05,0.0001867751519007,0.00074052538905,0.0001421276011801,0.0004899486920682,0.0006744131102472,0.0006025546962525,0.0026003546265092,0.0002078706388192,0.0001684572841271,0.0004084829902877,0.0013751733785401,0.0237617008375336,0.0545805807924294,0.0007738360441645,0.0010442527401215,0.0010284052625979,0.0009474330001786,0.0028123869906938,0.0011545475144857,4.834530148130004e-05,0.0015968643391159,0.0018054929889668,0.0004681690467589,0.0001481790975164,9.683230471847376e-05
G,0.0663617490717329,0.0148773881637187,0.0397934065270247,0.0397911353139863,0.1166743068783418,0.0956056886239734,0.1092048677829627,0.1225537277549047,0.0960499486194887,0.1050596092668928,0.1042263714841036,0.1213035440996582,0.0919075484459081,0.0712423248380856,0.0888421143065787,0.0958288066364673,0.0812152252022198,0.0794229948688774,0.0727780996424835,0.0856708972689307,0.0680532998233613,0.0543259938606131,0.0478922465268854,0.0138645624579485,0.0513505629081903,0.1038334692719599,0.0215890470532503,0.0395893550762154,0.0197352093831263,0.0136430440780228,0.0085649996370762,0.0077207170488591,0.0086205992983054,0.0098648412297407,0.013194771786355
H49,0.0092797951199127,0.003085211559625,0.0104957941314164,0.0091335217481215,0.0166062896870381,0.0103089005875096,0.019352182267362,0.017184316940225,0.0181103438745462,0.0168372453689058,0.0137046267707159,0.0171198499201878,0.0225443781182305,0.0227058625620321,0.0180716939796816,0.0112382668582481,0.0159438064444196,0.0145892366771331,0.0245549256113121,0.0147726672016992,0.0117067561319692,0.0084321825141168,0.0104978004867651,0.002581708247577,0.0141134865777206,0.0158516259441824,0.0054516226731589,0.0047662284615644,0.0045318687484489,0.0026847757422615,0.0019960804238948,0.0020378831756655,0.0011788077341526,0.0026939445761591,0.0047648802019958
H51,0.0006460010236336,0.0002595629424308,0.0009816210338734,0.0011201488936375,0.0011394120732996,0.0036439439280494,0.001143745996889,0.0021411573261227,0.0011305182595605,0.0014178391417693,0.0013190995102988,0.0018979391452691,0.0015241959988629,0.0024791824375473,0.0026632874417405,0.0064822675953319,0.0040785645179273,0.0031071190223515,0.0032302822456266,0.0031573332308121,0.0011114008986046,0.0007958464395346,0.0007612885670662,0.0003314507531823,0.0007561009007721,0.0321169781434329,0.001126047418245,0.0003460198610196,0.0017048458625117,0.0006768342207382,0.0003629237134354,0.0028870011655261,0.0001327643565435,0.0014647868164328,0.0014287332507518
H52,0.0012498298736176,0.0005761031161269,0.001034477551082,0.0009909009443716,0.0027372368471135,0.002023508527643,0.0029737395919114,0.0031383248808598,0.0023007296179612,0.002582608596907,0.0036421154620642,0.0051452801105851,0.0035580909812685,0.0036966944234166,0.0036985330440945,0.0015917392351286,0.0020536687299263,0.0026694966248372,0.0034761388224608,0.0058725436956657,0.0014048107358363,0.0029370523363777,0.0012232619310365,0.0052031003948548,0.0053701024606023,0.0021868387767887,0.0264116363410448,0.0008403339481906,0.0012300786602932,0.0002965178490853,0.0048268853886912,0.0017196873815703,0.0001481370715117,0.0002331998911733,0.0005663776313722
I,7.475976237897066e-05,0.0007544207473091,0.0012987601371249,0.0026452746949748,0.0006114927539349,0.0010626473354423,0.0002973739591911,0.0021044517719606,0.0001499517067297,0.000859788037915,0.0049612149723631,0.0011025600236968,0.0014408798188608,0.0012154092017831,0.0011383406000987,0.0016810484677814,0.0022370962347008,0.0015973217509272,0.0020761222043773,0.0019366899421876,0.0006668405391628,0.0031454883086368,0.0024598267599885,0.0015575930632543,0.0027719730661379,0.009598449117581,0.0014677445658504,0.0008533422136425,0.0072725703248918,0.0024720564157438,0.0035203600203237,0.0032802768660931,0.0002829977073691,0.0020526448754323,0.0067508559610332
J58T60,0.000253033041898,0.0007734131577309,0.0024313997915943,0.0024212449162473,0.001242017082079,0.0007532174599878,0.00041174855888,0.0012541064338718,4.557355792766742e-05,0.0005645400701781,0.0061752534597178,0.0008831450936078,0.0008625675106105,0.0003070064765749,0.0007646212332739,0.0003549759373795,0.0005466858965828,0.0005634388367996,0.000762610678143,0.0009851648589291,0.0004297416807938,0.0031454883086368,0.0003374098653081,0.001158950252624,0.0003095846207886,0.0046810170573424,0.0010328572870799,0.0024845787013068,0.0293924058827972,0.0020208336019183,0.0013791101110546,0.0027904698572051,0.0015868834405813,0.0040785689300011,0.0012003551735856
J61,0.0002837037136432,0.0006130328030582,0.0024842563088028,0.0014475770317777,0.0015407300511866,0.0014820062455977,0.0010064964772623,0.0022023332497262,0.0002352183634976,0.0007624535430567,0.0017043232610941,0.0020241027300702,0.0029601748659589,0.0001997644881823,0.0015893812152322,0.0001254851243602,0.0006797607529878,0.0010885857138168,0.0007079758832909,0.0028641866142526,0.0005156900169525,0.0028991548868761,0.0046765732944324,0.0027332285918889,0.0024695327058291,0.0082981666016525,0.0057311930666542,0.0034081655483894,0.0244073502595034,0.0302577126870963,0.0118676054293387,0.0555662812564801,0.0021514813357771,0.0085288001865599,0.0065316130069536
J62_63,5.750750952228512e-06,0.000299658031099,0.0004983614479665,0.001783621699869,0.0002325161892499,0.000386787344318,9.149967975112088e-05,0.0005872888665936,1.1760918174881914e-05,0.0001200458769919,0.0005019582207332,0.0003236370218811,0.0006959351506062,0.000113550340651,0.0002147812453016,0.0007653462089361,0.0001366714741457,0.0006181416364889,0.0001388634369155,0.0003027579810367,1.185494291844985e-05,0.000852692613787,2.5396441474807637e-05,0.0003093540363035,0.0003572130239868,0.0006383205078194,0.0005669066312544,0.000369434738833,0.0051253277512219,0.0016534093106604,0.0144080714233868,0.0021934058390715,0.0003507774051835,0.0019919157371059,0.0005846478775455
K,0.005915605812859,0.0053621905424126,0.0151622695078303,0.0101675053422485,0.0050930147502974,0.0054394514948313,0.0034541129106048,0.0066008821568183,0.002008176778361,0.0045876991909881,0.0054748466400901,0.007284575678952,0.0126836631673871,0.0055198082260913,0.0071565110934513,0.0057033554270055,0.0044849823226238,0.0054155771692395,0.0053052662251112,0.004416421977346,0.0030733939516081,0.0104975935119566,0.0172326948950129,0.0056576614277906,0.0050140801466954,0.0169391349575044,0.0070979816570758,0.0104690520356634,0.0093119112616938,0.0194090270346925,0.0262030921100384,0.077425259740724,0.0156682903514552,0.0174438376928757,0.0169748857196101
L,8.434434729935151e-05,6.752857038851086e-05,0.0098690668559433,0.0009736678844695,0.0049730330868054,0.0091363242173663,0.004369109708116,0.009684148706435,7.791608290859267e-05,0.0015589741593138,0.0056149280040156,0.0064069159585964,0.0095274502308348,0.0016254520985785,0.00802422732447,0.0033191380641602,0.0037009196551562,0.0035939739395862,0.0036684988293356,0.0149216433510983,0.0002815548943131,0.0049266684352143,0.0021351151154177,0.0279482882710626,0.0053165205070043,0.0096220906178706,0.0975312381085509,0.0099825429077635,0.0554938118411256,0.0214588678174997,0.0364375408289177,0.0202072205418624,0.0242658305773083,0.023174239185355,0.0134176687896692
M,0.0013514264737737,0.0085064896011277,0.0264056058111965,0.0679844213138484,0.0118210899630787,0.0116565491240284,0.0045292341476804,0.0168294965833246,0.0046102799245537,0.0106646161533083,0.0399465356127684,0.0078166568844177,0.0157075504062889,0.0104844814534443,0.0086427973109388,0.0124026783725822,0.0099446480529709,0.0120346159316433,0.0078230196878759,0.0134703273150172,0.0084851753938804,0.0155569030204267,0.014566673217336,0.012678555000983,0.0180047271190174,0.034469307422249,0.0307216799074311,0.0151364176797937,0.0819836636921782,0.0204790697074786,0.0611163533425274,0.0567443207413604,0.0136495733722216,0.0678951766489175,0.0301988898998425
N,0.0027028529475474,0.0024616274174436,0.051293474485404,0.0444095953677534,0.0268361745542888,0.0338255711220497,0.0100420898526855,0.0424622085731939,0.0009085309290096,0.014525551116021,0.0682955016372009,0.0459783986001327,0.0575763813332549,0.0150601396248633,0.0390085697716875,0.0121053577626115,0.0265538287794158,0.034495585484065,0.0241702055975623,0.0283439138437288,0.0024806468056856,0.0201993405843786,0.018551495820169,0.0461514734451577,0.010950960605357,0.077508658699481,0.0539881493216535,0.0694303160228008,0.1683265535138168,0.0200504080343445,0.2308557741162807,0.0401445109437901,0.0052225305305613,0.0624028333786777,0.0327439351917827
